company,tier,primary_source,valuation_b_latest,valuation_usd,funding_original_usd,funding_audited_usd,funding_audit_flag,industry_raw,industry_group,country,continent,city,founded_year,date_joined_unicorn,unicorn_year,era,years_to_unicorn,years_to_unicorn_flag,outcome,investors,investor_count,accelerator,in_yc,in_techstars,in_500global,valuation_asof,exit_date,exit_reason,exit_valuation_b,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status_asof,batch,batch_year,team_size,funding_stage,date_joined_parsed,is_unicorn_history,_ingested_at,_source_file,select_investor_count,_flag_long_path,_flag_missing_valuation,_flag_invalid_continent,ln_valuation,ln_funding
OpenAI,unicorn_current,CB Insights unicorn list (2026-07),840.0,840000000000.0,1000000000.0,1000000000.0,ok_or_missing,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2015.0,7/22/2019,2019.0,Pre-2021,4.0,,operating,"Khosla Ventures, Thrive Capital, Sequoia Capital",3.0,,False,False,False,2026-07,,,,1000000000.0,,,,,,,,,2019-07-22,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,27.45666772878377,20.72326583694641
ByteDance,unicorn_current,CB Insights unicorn list (2026-07),480.0,480000000000.0,8000000000.0,8000000000.0,ok_or_missing,Media & Entertainment,AI & Data,China,Asia,Beijing,2012.0,4/7/2017,2017.0,Pre-2021,5.0,,operating,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group",4.0,,False,False,False,2026-07,,,,8000000000.0,,,,,,,,,2017-04-07,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,4,False,False,False,26.897051940848346,22.80270737862625
Stripe,unicorn_current,CB Insights unicorn list (2026-07),159.0,159000000000.0,2000000000.0,2000000000.0,ok_or_missing,Financial Services,Fintech,United States,North America,San Francisco,2010.0,1/23/2014,2014.0,Pre-2021,4.0,,operating,"Khosla Ventures, LowercaseCapital, capitalG",3.0,,True,False,True,2026-07,,,,2000000000.0,,,,,,,,,2014-01-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,25.792170039166642,21.416413017506358
Databricks,unicorn_current,CB Insights unicorn list (2026-07),100.0,100000000000.0,3000000000.0,3000000000.0,ok_or_missing,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2013.0,2/5/2019,2019.0,Pre-2021,6.0,,operating,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",3.0,,False,False,False,2026-07,,,,3000000000.0,,,,,,,,,2019-02-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,25.328436022934504,21.82187812561452
VAST Data,unicorn_current,CB Insights unicorn list (2026-07),80.0,80000000000.0,263000000000.0,263000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,New York,2016.0,4/16/2020,2020.0,Pre-2021,4.0,,operating,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",3.0,,False,False,False,2026-07,,,,263000000000.0,,,,,,,,,2020-04-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,25.10529247162029,19.387664590142037
Revolut,unicorn_current,CB Insights unicorn list (2026-07),75.0,75000000000.0,2000000000.0,2000000000.0,ok_or_missing,Financial Services,Fintech,United Kingdom,Europe,London,2015.0,4/26/2018,2018.0,Pre-2021,3.0,,operating,"Index Ventures, DST Global, Ribbit Capital",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2018-04-26,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,25.04075395048272,21.416413017506358
SHEIN,unicorn_current,CB Insights unicorn list (2026-07),66.0,66000000000.0,2000000000.0,2000000000.0,ok_or_missing,Consumer & Retail,AI & Data,Singapore,Asia,Singapore,2008.0,7/3/2018,2018.0,Pre-2021,10.0,,operating,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2018-07-03,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,24.912920578972837,21.416413017506358
Ramp,unicorn_current,CB Insights unicorn list (2026-07),44.0,44000000000.0,660000000000.0,660000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,New York,2019.0,3/29/2021,2021.0,2021,2.0,,operating,"D1 Capital Partners, Stripe, Coatue Management",3.0,,False,False,False,2026-07,,,,660000000000.0,,,,,,,,,2021-03-29,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,24.507455470864674,20.307750392984744
Ripple,unicorn_current,CB Insights unicorn list (2026-07),40.0,40000000000.0,294000000000.0,294000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,United States,North America,San Francisco,2012.0,12/20/2019,2019.0,Pre-2021,7.0,,operating,"IDG Capital, Venture51, Lightspeed Venture Partners",3.0,,False,False,True,2026-07,,,,294000000000.0,,,,,,,,,2019-12-20,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,24.412145291060348,19.499090325302955
Canva,unicorn_current,CB Insights unicorn list (2026-07),32.0,32000000000.0,572000000000.0,572000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,Australia,Oceania,Surry Hills,2012.0,1/8/2018,2018.0,Pre-2021,6.0,,operating,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",3.0,,False,False,True,2026-07,,,,572000000000.0,,,,,,,,,2018-01-08,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,24.18900173974614,20.164649549344073
Fanatics,unicorn_current,CB Insights unicorn list (2026-07),31.0,31000000000.0,4000000000.0,4000000000.0,ok_or_missing,Consumer & Retail,AI & Data,United States,North America,Jacksonville,2002.0,6/6/2012,2012.0,Pre-2021,10.0,,operating,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",3.0,,False,False,False,2026-07,,,,4000000000.0,,,,,,,,,2012-06-06,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,24.157253041431556,22.1095601980663
Chime,unicorn_current,CB Insights unicorn list (2026-07),25.0,25000000000.0,2000000000.0,2000000000.0,ok_or_missing,Financial Services,Fintech,United States,North America,San Francisco,2013.0,3/5/2019,2019.0,Pre-2021,6.0,,operating,"Forerunner Ventures, Crosslink Capital, Homebrew",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2019-03-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,23.942141661814613,21.416413017506358
Epic Games,unicorn_current,CB Insights unicorn list (2026-07),22.5,22500000000.0,7000000000.0,7000000000.0,ok_or_missing,Media & Entertainment,AI & Data,United States,North America,Cary,1991.0,10/26/2018,2018.0,Pre-2021,27.0,,operating,"Tencent Holdings, KKR, Smash Ventures",3.0,,False,False,False,2026-07,,,,7000000000.0,,,,,,,,,2018-10-26,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,True,False,False,23.836781146156785,22.669175986001726
Miro,unicorn_current,CB Insights unicorn list (2026-07),17.5,17500000000.0,476000000000.0,476000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2011.0,1/5/2022,2022.0,Post-2021,11.0,,operating,"Accel, AltaIR Capital, Technology Crossover Ventures",3.0,,False,False,False,2026-07,,,,476000000000.0,,,,,,,,,2022-01-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,23.585466717875878,19.980928412195695
Deel,unicorn_current,CB Insights unicorn list (2026-07),17.5,17500000000.0,629000000000.0,629000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2018.0,4/21/2021,2021.0,2021,3.0,,operating,"Andreessen Horowitz, Spark Capital, Y Combinator",3.0,,True,False,False,2026-07,,,,629000000000.0,,,,,,,,,2021-04-21,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,23.585466717875878,20.259641814664715
Xiaohongshu,unicorn_current,CB Insights unicorn list (2026-07),17.0,17000000000.0,918000000000.0,918000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,China,Asia,Shanghai,2013.0,3/31/2016,2016.0,Pre-2021,3.0,,operating,"GGV Capital, ZhenFund, Tencent",3.0,,False,False,False,2026-07,,,,918000000000.0,,,,,,,,,2016-03-31,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,23.556479181002626,20.637707948584765
Rippling,unicorn_current,CB Insights unicorn list (2026-07),16.8,16800000000.0,447000000000.0,447000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2017.0,8/4/2020,2020.0,Pre-2021,3.0,,operating,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",3.0,,True,False,False,2026-07,,,,447000000000.0,,,,,,,,,2020-08-04,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,23.544644723355624,19.918069152577843
Yuanfudao,unicorn_current,CB Insights unicorn list (2026-07),15.5,15500000000.0,4000000000.0,4000000000.0,ok_or_missing,Consumer & Retail,AI & Data,China,Asia,Beijing,2012.0,5/31/2017,2017.0,Pre-2021,5.0,,operating,"Tencent Holdings, Warbug Pincus, IDG Capital",3.0,,False,False,False,2026-07,,,,4000000000.0,,,,,,,,,2017-05-31,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,23.464105860871612,22.1095601980663
DJI Innovations,unicorn_current,CB Insights unicorn list (2026-07),15.0,15000000000.0,105000000000.0,105000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,China,Asia,Shenzhen,2006.0,1/23/2015,2015.0,Pre-2021,9.0,,operating,"Accel Partners, Sequoia Capital",2.0,,False,False,False,2026-07,,,,105000000000.0,,,,,,,,,2015-01-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,False,False,False,23.43131603804862,18.469470908121796
ClickHouse,unicorn_current,CB Insights unicorn list (2026-07),15.0,15000000000.0,300000000000.0,300000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Redwood City,2021.0,10/28/2021,2021.0,2021,0.0,,operating,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital",3.0,,False,False,False,2026-07,,,,300000000000.0,,,,,,,,,2021-10-28,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,23.43131603804862,19.519293032620475
Discord,unicorn_current,CB Insights unicorn list (2026-07),15.0,15000000000.0,979000000000.0,979000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,United States,North America,San Francisco,2012.0,4/20/2018,2018.0,Pre-2021,6.0,,operating,"Benchmark, Greylock Partners, Tencent Holdings",3.0,,False,False,False,2026-07,,,,979000000000.0,,,,,,,,,2018-04-20,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,23.43131603804862,20.702042200494784
