company,tier,primary_source,valuation_b_latest,valuation_usd,funding_original_usd,funding_audited_usd,funding_audit_flag,industry_raw,industry_group,country,continent,city,founded_year,date_joined_unicorn,unicorn_year,era,years_to_unicorn,years_to_unicorn_flag,outcome,investors,investor_count,accelerator,in_yc,in_techstars,in_500global,valuation_asof,exit_date,exit_reason,exit_valuation_b,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status_asof,batch,batch_year,team_size,funding_stage,date_joined_parsed,is_unicorn_history,_ingested_at,_source_file,select_investor_count,is_unicorn
Anthropic,unicorn_current,CB Insights unicorn list (2026-07),965.0,965000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,,2/3/2023,2023.0,Post-2021,,,operating,Google,1.0,,False,False,False,2026-07,,,,,,,,,,,,,2023-02-03,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,1
OpenAI,unicorn_current,CB Insights unicorn list (2026-07),840.0,840000000000.0,1000000000.0,1000000000.0,ok_or_missing,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2015.0,7/22/2019,2019.0,Pre-2021,4.0,,operating,"Khosla Ventures, Thrive Capital, Sequoia Capital",3.0,,False,False,False,2026-07,,,,1000000000.0,,,,,,,,,2019-07-22,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
ByteDance,unicorn_current,CB Insights unicorn list (2026-07),480.0,480000000000.0,8000000000.0,8000000000.0,ok_or_missing,Media & Entertainment,AI & Data,China,Asia,Beijing,2012.0,4/7/2017,2017.0,Pre-2021,5.0,,operating,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group",4.0,,False,False,False,2026-07,,,,8000000000.0,,,,,,,,,2017-04-07,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,4,1
Stripe,unicorn_current,CB Insights unicorn list (2026-07),159.0,159000000000.0,2000000000.0,2000000000.0,ok_or_missing,Financial Services,Fintech,United States,North America,San Francisco,2010.0,1/23/2014,2014.0,Pre-2021,4.0,,operating,"Khosla Ventures, LowercaseCapital, capitalG",3.0,,True,False,True,2026-07,,,,2000000000.0,,,,,,,,,2014-01-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Databricks,unicorn_current,CB Insights unicorn list (2026-07),100.0,100000000000.0,3000000000.0,3000000000.0,ok_or_missing,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2013.0,2/5/2019,2019.0,Pre-2021,6.0,,operating,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",3.0,,False,False,False,2026-07,,,,3000000000.0,,,,,,,,,2019-02-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
VAST Data,unicorn_current,CB Insights unicorn list (2026-07),80.0,80000000000.0,263000000000.0,263000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,New York,2016.0,4/16/2020,2020.0,Pre-2021,4.0,,operating,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",3.0,,False,False,False,2026-07,,,,263000000000.0,,,,,,,,,2020-04-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Revolut,unicorn_current,CB Insights unicorn list (2026-07),75.0,75000000000.0,2000000000.0,2000000000.0,ok_or_missing,Financial Services,Fintech,United Kingdom,Europe,London,2015.0,4/26/2018,2018.0,Pre-2021,3.0,,operating,"Index Ventures, DST Global, Ribbit Capital",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2018-04-26,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
DeepSeek,unicorn_current,CB Insights unicorn list (2026-07),50.0,50000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,China,Asia,Hangzhou,,6/16/2026,2026.0,Post-2021,,,operating,"Alibaba Group, CATL, Guozhitou Private Equity Fund Management",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2026-06-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
SHEIN,unicorn_current,CB Insights unicorn list (2026-07),66.0,66000000000.0,2000000000.0,2000000000.0,ok_or_missing,Consumer & Retail,AI & Data,Singapore,Asia,Singapore,2008.0,7/3/2018,2018.0,Pre-2021,10.0,,operating,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2018-07-03,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Ramp,unicorn_current,CB Insights unicorn list (2026-07),44.0,44000000000.0,660000000000.0,660000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,New York,2019.0,3/29/2021,2021.0,2021,2.0,,operating,"D1 Capital Partners, Stripe, Coatue Management",3.0,,False,False,False,2026-07,,,,660000000000.0,,,,,,,,,2021-03-29,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Ripple,unicorn_current,CB Insights unicorn list (2026-07),40.0,40000000000.0,294000000000.0,294000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,United States,North America,San Francisco,2012.0,12/20/2019,2019.0,Pre-2021,7.0,,operating,"IDG Capital, Venture51, Lightspeed Venture Partners",3.0,,False,False,True,2026-07,,,,294000000000.0,,,,,,,,,2019-12-20,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Project Prometheus,unicorn_current,CB Insights unicorn list (2026-07),41.0,41000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,,4/23/2026,2026.0,Post-2021,,,operating,"ARCH Venture Partners, BlackRock, DST Global",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2026-04-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Figure,unicorn_current,CB Insights unicorn list (2026-07),39.0,39000000000.0,,,missing_funding,Industrials,Hardware & Industrials,United States,North America,San Jose,,2/23/2024,2024.0,Post-2021,,,operating,"Intel Capital, Parkway VC, Amazon Industrial Innovation Fund",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-02-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Canva,unicorn_current,CB Insights unicorn list (2026-07),32.0,32000000000.0,572000000000.0,572000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,Australia,Oceania,Surry Hills,2012.0,1/8/2018,2018.0,Pre-2021,6.0,,operating,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",3.0,,False,False,True,2026-07,,,,572000000000.0,,,,,,,,,2018-01-08,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Fanatics,unicorn_current,CB Insights unicorn list (2026-07),31.0,31000000000.0,4000000000.0,4000000000.0,ok_or_missing,Consumer & Retail,AI & Data,United States,North America,Jacksonville,2002.0,6/6/2012,2012.0,Pre-2021,10.0,,operating,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",3.0,,False,False,False,2026-07,,,,4000000000.0,,,,,,,,,2012-06-06,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Safe Superintelligence,unicorn_current,CB Insights unicorn list (2026-07),30.0,30000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,Palo Alto,,9/4/2024,2024.0,Post-2021,,,operating,"Sequoia Capital, DST Global, Andreessen Horowitz",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-09-04,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Anysphere,unicorn_current,CB Insights unicorn list (2026-07),29.3,29300000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,,12/20/2024,2024.0,Post-2021,,,operating,"Andreessen Horowitz, Thrive Capital, OpenAI Startup Fund",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-12-20,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Cognition,unicorn_current,CB Insights unicorn list (2026-07),26.0,26000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,,4/24/2024,2024.0,Post-2021,,,operating,"Founders Fund, Khosla Ventures",2.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-04-24,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
OKX,unicorn_current,CB Insights unicorn list (2026-07),25.0,25000000000.0,,,missing_funding,Financial Services,Fintech,Seychelles,Africa,Mahe,,3/5/2026,2026.0,Post-2021,,,operating,Morningstar Ventures,1.0,,False,False,False,2026-07,,,,,,,,,,,,,2026-03-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,1
Epic Games,unicorn_current,CB Insights unicorn list (2026-07),22.5,22500000000.0,7000000000.0,7000000000.0,ok_or_missing,Media & Entertainment,AI & Data,United States,North America,Cary,1991.0,10/26/2018,2018.0,Pre-2021,27.0,,operating,"Tencent Holdings, KKR, Smash Ventures",3.0,,False,False,False,2026-07,,,,7000000000.0,,,,,,,,,2018-10-26,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Chime,unicorn_current,CB Insights unicorn list (2026-07),25.0,25000000000.0,2000000000.0,2000000000.0,ok_or_missing,Financial Services,Fintech,United States,North America,San Francisco,2013.0,3/5/2019,2019.0,Pre-2021,6.0,,operating,"Forerunner Ventures, Crosslink Capital, Homebrew",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2019-03-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Chobani,unicorn_current,CB Insights unicorn list (2026-07),20.0,20000000000.0,,,missing_funding,Consumer & Retail,AI & Data,United States,North America,New York,,10/16/2025,2025.0,Post-2021,,,operating,,0.0,,False,False,False,2026-07,,,,,,,,,,,,,2025-10-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,0,1
Kalshi,unicorn_current,CB Insights unicorn list (2026-07),22.0,22000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,New York,,6/25/2025,2025.0,Post-2021,,,operating,Sequoia Capital,1.0,,True,False,False,2026-07,,,,,,,,,,,,,2025-06-25,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,1
Perplexity,unicorn_current,CB Insights unicorn list (2026-07),20.0,20000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,,4/23/2024,2024.0,Post-2021,,,operating,"New Enterprise Associates, Institutional Venture Partners, NVentures",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-04-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Deel,unicorn_current,CB Insights unicorn list (2026-07),17.5,17500000000.0,629000000000.0,629000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2018.0,4/21/2021,2021.0,2021,3.0,,operating,"Andreessen Horowitz, Spark Capital, Y Combinator",3.0,,True,False,False,2026-07,,,,629000000000.0,,,,,,,,,2021-04-21,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Miro,unicorn_current,CB Insights unicorn list (2026-07),17.5,17500000000.0,476000000000.0,476000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2011.0,1/5/2022,2022.0,Post-2021,11.0,,operating,"Accel, AltaIR Capital, Technology Crossover Ventures",3.0,,False,False,False,2026-07,,,,476000000000.0,,,,,,,,,2022-01-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Xiaohongshu,unicorn_current,CB Insights unicorn list (2026-07),17.0,17000000000.0,918000000000.0,918000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,China,Asia,Shanghai,2013.0,3/31/2016,2016.0,Pre-2021,3.0,,operating,"GGV Capital, ZhenFund, Tencent",3.0,,False,False,False,2026-07,,,,918000000000.0,,,,,,,,,2016-03-31,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Rippling,unicorn_current,CB Insights unicorn list (2026-07),16.8,16800000000.0,447000000000.0,447000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2017.0,8/4/2020,2020.0,Pre-2021,3.0,,operating,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",3.0,,True,False,False,2026-07,,,,447000000000.0,,,,,,,,,2020-08-04,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Helion Energy,unicorn_current,CB Insights unicorn list (2026-07),15.5,15500000000.0,,,missing_funding,Industrials,Hardware & Industrials,United States,North America,Everett,,11/5/2021,2021.0,2021,,,operating,"Mithril Capital Management, Y Combinator, Capricorn Investment Group",3.0,,True,False,False,2026-07,,,,,,,,,,,,,2021-11-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Yuanfudao,unicorn_current,CB Insights unicorn list (2026-07),15.5,15500000000.0,4000000000.0,4000000000.0,ok_or_missing,Consumer & Retail,AI & Data,China,Asia,Beijing,2012.0,5/31/2017,2017.0,Pre-2021,5.0,,operating,"Tencent Holdings, Warbug Pincus, IDG Capital",3.0,,False,False,False,2026-07,,,,4000000000.0,,,,,,,,,2017-05-31,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
DJI Innovations,unicorn_current,CB Insights unicorn list (2026-07),15.0,15000000000.0,105000000000.0,105000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,China,Asia,Shenzhen,2006.0,1/23/2015,2015.0,Pre-2021,9.0,,operating,"Accel Partners, Sequoia Capital",2.0,,False,False,False,2026-07,,,,105000000000.0,,,,,,,,,2015-01-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
Sierra,unicorn_current,CB Insights unicorn list (2026-07),15.8,15800000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,,10/28/2024,2024.0,Post-2021,,,operating,"Benchmark, Sequoia Capital, Greenoaks",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-10-28,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
ClickHouse,unicorn_current,CB Insights unicorn list (2026-07),15.0,15000000000.0,300000000000.0,300000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Redwood City,2021.0,10/28/2021,2021.0,2021,0.0,,operating,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital",3.0,,False,False,False,2026-07,,,,300000000000.0,,,,,,,,,2021-10-28,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Discord,unicorn_current,CB Insights unicorn list (2026-07),15.0,15000000000.0,979000000000.0,979000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,United States,North America,San Francisco,2012.0,4/20/2018,2018.0,Pre-2021,6.0,,operating,"Benchmark, Greylock Partners, Tencent Holdings",3.0,,False,False,False,2026-07,,,,979000000000.0,,,,,,,,,2018-04-20,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Yuanqi Senlin,unicorn_current,CB Insights unicorn list (2026-07),15.0,15000000000.0,,,missing_funding,Consumer & Retail,AI & Data,China,Asia,Beijing,,3/1/2020,2020.0,Pre-2021,,,operating,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2020-03-01,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Trade Republic,unicorn_current,CB Insights unicorn list (2026-07),14.65,14650000000.0,996000000000.0,996000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,Germany,Europe,Berlin,2015.0,5/20/2021,2021.0,2021,6.0,,operating,"Founders Fund. Accel, Creandum",2.0,,False,False,False,2026-07,,,,996000000000.0,,,,,,,,,2021-05-20,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
ArtIn Energy,unicorn_current,CB Insights unicorn list (2026-07),14.5,14500000000.0,,,missing_funding,Industrials,Hardware & Industrials,United States,North America,Tampa,,3/9/2026,2026.0,Post-2021,,,operating,,0.0,,False,False,False,2026-07,,,,,,,,,,,,,2026-03-09,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,0,1
Skild AI,unicorn_current,CB Insights unicorn list (2026-07),14.0,14000000000.0,,,missing_funding,Industrials,Hardware & Industrials,United States,North America,Pittsburgh,,7/9/2024,2024.0,Post-2021,,,operating,"CRV, General Catalyst, Menlo Ventures",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-07-09,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Anduril,unicorn_current,CB Insights unicorn list (2026-07),14.0,14000000000.0,691000000000.0,691000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,United States,North America,Irvine,2017.0,9/11/2019,2019.0,Pre-2021,2.0,,operating,"Andreessen Horowitz, Founders Fund, Revolution Ventures",3.0,,False,False,False,2026-07,,,,691000000000.0,,,,,,,,,2019-09-11,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Scale,unicorn_current,CB Insights unicorn list (2026-07),13.8,13800000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,,8/5/2019,2019.0,Pre-2021,,,operating,"Accel, Y Combinator, Index Ventures",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2019-08-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
OpenSea,unicorn_current,CB Insights unicorn list (2026-07),13.3,13300000000.0,427000000000.0,427000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,United States,North America,New York,2017.0,7/20/2021,2021.0,2021,4.0,,operating,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",3.0,,True,False,False,2026-07,,,,427000000000.0,,,,,,,,,2021-07-20,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Mistral AI,unicorn_current,CB Insights unicorn list (2026-07),13.25,13250000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,France,Europe,Paris,,12/10/2023,2023.0,Post-2021,,,operating,"Lightspeed Venture Partners, General Catalyst, Andreessen Horowitz",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2023-12-10,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Baseten,unicorn_current,CB Insights unicorn list (2026-07),13.0,13000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,,9/25/2025,2025.0,Post-2021,,,operating,"Bond, Greylock Partners, Institutional Venture Partners",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2025-09-25,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Celonis,unicorn_current,CB Insights unicorn list (2026-07),13.0,13000000000.0,1000000000.0,1000000000.0,ok_or_missing,Enterprise Tech,Enterprise Software,Germany,Europe,Munich,2011.0,6/26/2018,2018.0,Pre-2021,7.0,,operating,"Accel, 83North",2.0,,False,False,False,2026-07,,,,1000000000.0,,,,,,,,,2018-06-26,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
Grammarly,unicorn_current,CB Insights unicorn list (2026-07),13.0,13000000000.0,400000000000.0,400000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,United States,North America,San Francisco,2009.0,10/10/2019,2019.0,Pre-2021,10.0,,operating,"General Catalyst, Institutional Venture Partners, Breyer Capital",3.0,,False,False,False,2026-07,,,,400000000000.0,,,,,,,,,2019-10-10,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Devoted Health,unicorn_current,CB Insights unicorn list (2026-07),12.9,12900000000.0,2000000000.0,2000000000.0,ok_or_missing,Healthcare & Life Sciences,Health & Bio,United States,North America,Waltham,2017.0,10/16/2018,2018.0,Pre-2021,1.0,,operating,"Andreessen Horowitz, F-Prime Capital, Venrock",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2018-10-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
NinjaOne,unicorn_current,CB Insights unicorn list (2026-07),12.3,12300000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,Austin,,2/6/2024,2024.0,Post-2021,,,operating,,0.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-02-06,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,0,1
Faire,unicorn_current,CB Insights unicorn list (2026-07),12.59,12590000000.0,1000000000.0,1000000000.0,ok_or_missing,Consumer & Retail,AI & Data,United States,North America,San Francisco,2017.0,10/30/2019,2019.0,Pre-2021,2.0,,operating,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",3.0,,True,False,False,2026-07,,,,1000000000.0,,,,,,,,,2019-10-30,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Shield AI,unicorn_current,CB Insights unicorn list (2026-07),12.7,12700000000.0,328000000000.0,328000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,United States,North America,San Diego,2015.0,8/24/2021,2021.0,2021,6.0,,operating,"Andreessen Horowitz, Homebrew, Point72 Ventures",3.0,,False,False,False,2026-07,,,,328000000000.0,,,,,,,,,2021-08-24,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Labs,unicorn_current,CB Insights unicorn list (2026-07),12.5,12500000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,Beverly Hills,,4/18/2025,2025.0,Post-2021,,,operating,"JET Venture Capital, Sivad VC",2.0,,False,False,False,2026-07,,,,,,,,,,,,,2025-04-18,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
Brex,unicorn_current,CB Insights unicorn list (2026-07),12.3,12300000000.0,1000000000.0,1000000000.0,ok_or_missing,Enterprise Tech,Enterprise Software,United States,North America,Salt Lake City,2017.0,10/5/2018,2018.0,Pre-2021,1.0,,operating,"DST Global, Ribbit Capital, Greenoaks Capital Management",3.0,,True,False,False,2026-07,,,,1000000000.0,,,,,,,,,2018-10-05,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
JUUL Labs,unicorn_current,CB Insights unicorn list (2026-07),12.0,12000000000.0,14000000000.0,14000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,United States,North America,San Francisco,2015.0,12/20/2017,2017.0,Pre-2021,2.0,,operating,Tiger Global Management,1.0,,False,False,False,2026-07,,,,14000000000.0,,,,,,,,,2017-12-20,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,1
Bitmain Technologies,unicorn_current,CB Insights unicorn list (2026-07),12.0,12000000000.0,765000000000.0,765000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,China,Asia,Beijing,2015.0,7/6/2018,2018.0,Pre-2021,3.0,,operating,"Coatue Management, Sequoia Capital China, IDG Capital",3.0,,False,False,False,2026-07,,,,765000000000.0,,,,,,,,,2018-07-06,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Cyera,unicorn_current,CB Insights unicorn list (2026-07),12.0,12000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,New York,,4/9/2024,2024.0,Post-2021,,,operating,"Accel, CyberStarts, Sequoia Capital",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-04-09,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
GoodLeap,unicorn_current,CB Insights unicorn list (2026-07),12.0,12000000000.0,800000000000.0,800000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,United States,North America,Roseville,2003.0,10/13/2021,2021.0,2021,18.0,,operating,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",3.0,,False,False,False,2026-07,,,,800000000000.0,,,,,,,,,2021-10-13,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Xingsheng Selected,unicorn_current,CB Insights unicorn list (2026-07),12.0,12000000000.0,5000000000.0,5000000000.0,ok_or_missing,Consumer & Retail,AI & Data,China,Asia,Changsha,2009.0,7/22/2020,2020.0,Pre-2021,11.0,,operating,"KKR, Tencent Holdings, Sequoia Capital China",3.0,,False,False,False,2026-07,,,,5000000000.0,,,,,,,,,2020-07-22,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Airtable,unicorn_current,CB Insights unicorn list (2026-07),11.7,11700000000.0,1000000000.0,1000000000.0,ok_or_missing,Enterprise Tech,Enterprise Software,United States,North America,San Francisco,2013.0,11/15/2018,2018.0,Pre-2021,5.0,,operating,"Caffeinated Capital, CRV, Founder Collective",3.0,,False,False,False,2026-07,,,,1000000000.0,,,,,,,,,2018-11-15,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Whatnot,unicorn_current,CB Insights unicorn list (2026-07),11.5,11500000000.0,225000000000.0,225000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,United States,North America,Marina del Rey,2019.0,9/16/2021,2021.0,2021,2.0,,operating,"Y Combinator, Andreessen Horowitz, Wonder Ventures",3.0,,True,False,False,2026-07,,,,225000000000.0,,,,,,,,,2021-09-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
ElevenLabs,unicorn_current,CB Insights unicorn list (2026-07),11.0,11000000000.0,,,missing_funding,Enterprise Tech,Enterprise Software,United States,North America,New York,,01/22/2024,2024.0,Post-2021,,,operating,"Andreessen Horowitz, Credo Ventures, Sequoia Capital",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2024-01-22,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
ZongMu Technology,unicorn_current,CB Insights unicorn list (2026-07),11.4,11400000000.0,376000000000.0,376000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,China,Asia,Shanghai,2013.0,6/3/2021,2021.0,2021,8.0,,operating,"LTW Capital, Legend Capital, Qualcomm Ventures",3.0,,False,False,False,2026-07,,,,376000000000.0,,,,,,,,,2021-06-03,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
